event,year,country,sector,scenario,process_variable,process_deviation,hazard,H,E,I,i_basis,C,cpss_actual,cpss_potential,class,source,source_type,confidence
Maroochy Shire Sewage,2000,Australia,water,process_manipulation,flow,reverse,hydrological,0,4,0.3,population,0,4.0,5,MODERATE,Slay & Miller (2007) IFIP Critical Infrastructure Protection,academic,high
Davis-Besse Nuclear,2003,USA,nuclear,supply_chain_compromise,temperature,more,radiological,0,0,0.3,population,1,1.0,7,LOW,NRC Event Report (2003); Lemos (2003) CNET,government,high
CSX Train Signaling Slammer,2003,USA,transportation,supply_chain_compromise,speed,unstable,mechanical,0,0,1.0,population,2,2.0,5,LOW,Byres & Lowe (2004) SANS ICS; ISC/CERT Advisory MS03-026 (2003),academic,medium
Browns Ferry Nuclear,2006,USA,nuclear,process_manipulation,voltage,unstable,radiological,0,0,0.3,population,1,1.0,7,LOW,NRC Event Report (2007); Meserve (2007) CNN,government,high
Aurora Generator Test,2007,USA,power,control_logic_modification,speed,reverse,mechanical,0,0,0.3,population,2,2.0,6,LOW,DHS/INL (2007); Meserve (2007) CNN,government,medium
Turkish Pipeline Explosion,2008,Turkey,oil_gas,control_logic_modification,pressure,more,thermal,0,3,0.3,population,2,3.0,6,MODERATE,Robertson & Riley (2014) Bloomberg; Zetter (2014) Countdown to Zero Day,news,medium
Stuxnet,2010,Iran,nuclear,control_logic_modification,speed,more,mechanical,0,3,1.0,population,2,3.0,6,MODERATE,Langner (2011) IEEE S&P; Falliere et al. (2011) Symantec W32.Stuxnet Dossier,academic,high
Duqu ICS Espionage,2011,global,manufacturing,supply_chain_compromise,voltage,unstable,none,0,0,0.0,ics_systems,1,1.0,4,LOW,Kaspersky Lab (2011) Duqu Analysis; Symantec (2011) W32.Duqu,vendor_report,high
Bowman Avenue Dam,2013,USA,water,sensor_spoofing,level,unstable,none,0,0,0.3,ics_systems,0,0.3,3,LOW,DOJ (2016) Indictment US v. Amin et al.,government,high
German Steel Mill,2014,Germany,manufacturing,control_logic_modification,temperature,more,thermal,0,2,0.3,population,2,2.0,5,LOW,BSI (2014) Annual Report on IT Security in Germany,government,medium
Dragonfly Havex,2014,global,energy,sensor_spoofing,voltage,unstable,none,0,0,2.0,ics_systems,1,2.0,5,LOW,Symantec (2014) Dragonfly; F-Secure (2014) Havex,vendor_report,medium
BlackEnergy US ICS,2014,USA,energy,supply_chain_compromise,voltage,unstable,none,0,0,2.0,ics_systems,1,2.0,5,LOW,ICS-CERT Alert ICS-ALERT-14-281-01B (2014),government,medium
Ukraine Grid 1,2015,Ukraine,power,remote_shutdown,voltage,none,electrical,0,1,2.4,population,3,3.0,6,MODERATE,E-ISAC & SANS (2016); Zetter (2016) Wired,government,high
Kemuri Water,2016,USA,water,process_manipulation,level,more,chemical,0,0,0.3,population,0,0.3,5,LOW,Verizon (2016) Data Breach Investigations Report,vendor_report,medium
Industroyer Crashoverride,2016,Ukraine,power,remote_shutdown,voltage,none,electrical,0,1,2.0,population,2,2.0,6,LOW,ESET (2017) Industroyer; Dragos (2017) CrashOverride,vendor_report,high
Triton TRISIS,2017,Saudi Arabia,oil_gas,safety_system_disable,pressure,more,thermal,0,1,0.3,population,2,2.0,7,LOW,FireEye (2017) TRITON; Dragos (2017) TRISIS,vendor_report,high
Wolf Creek Nuclear Dragonfly,2017,USA,nuclear,supply_chain_compromise,temperature,more,none,0,0,0.0,ics_systems,1,1.0,7,LOW,FBI/DHS TA17-293A (2017); ICS-CERT Alert (2017),government,high
VPNFilter,2018,global,energy,supply_chain_compromise,flow,none,none,0,0,2.0,ics_systems,1,2.0,5,LOW,Talos Intelligence (2018); FBI/DOJ (2018),vendor_report,high
Norsk Hydro,2019,Norway,manufacturing,remote_shutdown,speed,none,mechanical,0,0,1.0,population,3,3.0,4,MODERATE,Norsk Hydro ASA Press Releases (2019); DNV GL (2019),news,high
Xenotime Targeting,2019,global,oil_gas,safety_system_disable,pressure,more,none,0,0,0.0,ics_systems,1,1.0,7,LOW,Dragos (2019) Year in Review; FireEye (2019),vendor_report,medium
